,artist_id,name,artist_url
303,873-the-cure,The Cure,/artists/873-the-cure/
304,33038-rp-boo,RP Boo,/artists/33038-rp-boo/
305,27708-peter-doherty,Peter Doherty,/artists/27708-peter-doherty/
306,1814-dave-gahan,Dave Gahan,/artists/1814-dave-gahan/
307,pale-waves,Pale Waves,/artists/pale-waves/
308,1306-einsturzende-neubauten,Einstürzende Neubauten,/artists/1306-einsturzende-neubauten/
309,eth-graham-and-more-eaze,---__--___,/artists/seth-graham-and-more-eaze/
310,624-david-thomas-broughton,David Thomas Broughton,/artists/624-david-thomas-broughton/
311,32738-carter-tutti,Carter Tutti,/artists/32738-carter-tutti/
312,28324-brilliant-colors,Brilliant Colors,/artists/28324-brilliant-colors/
313,margaux,Margaux,/artists/margaux/
314,700-the-cassettes,The Cassettes,/artists/700-the-cassettes/
315,75-american-analog-set,American Analog Set,/artists/75-american-analog-set/
316,4824-parenthetical-girls,Parenthetical Girls,/artists/4824-parenthetical-girls/
317,382-jim-black,Jim Black,/artists/382-jim-black/
318,na-da-silva,Ana da Silva,/artists/ana-da-silva/
319,18705-phew,Phew,/artists/18705-phew/
320,29767-tammar,Tammar,/artists/29767-tammar/
321,29621-tearist,Tearist,/artists/29621-tearist/
322,1510-flim,Flim,/artists/1510-flim/
323,29677-daniele-luppi,Daniele Luppi,/artists/29677-daniele-luppi/
324,30832-parquet-courts,Parquet Courts,/artists/30832-parquet-courts/
325,5308-pissed-jeans,Pissed Jeans,/artists/5308-pissed-jeans/
326,32989-katie-dey,Katie Dey,/artists/32989-katie-dey/
327,3065-northern-state,Northern State,/artists/3065-northern-state/
328,horsey,Horsey,/artists/horsey/
329,34380-collin-strange,Collin Strange,/artists/34380-collin-strange/
330,683-the-caribbean,The Caribbean,/artists/683-the-caribbean/
331,27856-the-dream,The-Dream,/artists/27856-the-dream/
332,33345-via-app,Via App,/artists/33345-via-app/
333,27688-the-love-language,The Love Language,/artists/27688-the-love-language/
334,2748-metro-area,Metro Area,/artists/2748-metro-area/
335,696-johnny-cash,Johnny Cash,/artists/696-johnny-cash/
336,810-the-concretes,The Concretes,/artists/810-the-concretes/
337,1862-growing,Growing,/artists/1862-growing/
338,4503-vue,Vue,/artists/4503-vue/
339,4395-tapes-n-tapes,Tapes 'n Tapes,/artists/4395-tapes-n-tapes/
340,25023-failure,Failure,/artists/25023-failure/
341,1241-liz-durrett,Liz Durrett,/artists/1241-liz-durrett/
342,32668-ro-maron,Ro Maron,/artists/32668-ro-maron/
343,3501-q-and-not-u,Q and Not U,/artists/3501-q-and-not-u/
344,5569-ham1,Ham1,/artists/5569-ham1/
345,33953-teyana-taylor,Teyana Taylor,/artists/33953-teyana-taylor/
346,4700-susumu-yokota,Susumu Yokota,/artists/4700-susumu-yokota/
347,2906-mission-of-burma,Mission of Burma,/artists/2906-mission-of-burma/
348,1833-guitar-wolf,Guitar Wolf,/artists/1833-guitar-wolf/
349,3328-plaid,Plaid,/artists/3328-plaid/
350,27279-kayhan-kalhor-brooklyn-rider,Kayhan Kalhor & Brooklyn Rider,/artists/27279-kayhan-kalhor-brooklyn-rider/
351,1931-matthew-herbert,Matthew Herbert,/artists/1931-matthew-herbert/
352,1903-richie-hawtin,Richie Hawtin,/artists/1903-richie-hawtin/
353,13971-mavis-staples,Mavis Staples,/artists/13971-mavis-staples/
354,water-from-your-eyes,Water From Your Eyes,/artists/water-from-your-eyes/
355,30631-petite-noir,Petite Noir,/artists/30631-petite-noir/
356,329-jay-bennett,Jay Bennett,/artists/329-jay-bennett/
357,16968-edward-burch,Edward Burch,/artists/16968-edward-burch/
358,34229-marika-hackman,Marika Hackman,/artists/34229-marika-hackman/
359,33336-gloria-ann-taylor,Gloria Ann Taylor,/artists/33336-gloria-ann-taylor/
360,omeo-santos,Romeo Santos,/artists/romeo-santos/
361,33674-post-malone,Post Malone,/artists/33674-post-malone/
362,2973-make-a-rising,Make a Rising,/artists/2973-make-a-rising/
363,34038-lil-peep,Lil Peep,/artists/34038-lil-peep/
364,5609-the-cake-sale,The Cake Sale,/artists/5609-the-cake-sale/
365,5570-octoberman,Octoberman,/artists/5570-octoberman/
366,18-ryan-adams,Ryan Adams,/artists/18-ryan-adams/
367,27583-ryan-adams-the-cardinals,The Cardinals,/artists/27583-ryan-adams-the-cardinals/
368,19278-beastie-boys,Beastie Boys,/artists/19278-beastie-boys/
369,4636-scott-walker,Scott Walker,/artists/4636-scott-walker/
370,230-apostle-of-hustle,Apostle of Hustle,/artists/230-apostle-of-hustle/
371,3107-willie-nelson,Willie Nelson,/artists/3107-willie-nelson/
372,30766-marching-church,Marching Church,/artists/30766-marching-church/
373,33094-natural-information-society,Natural Information Society,/artists/33094-natural-information-society/
374,5337-los-campesinos,Los Campesinos!,/artists/5337-los-campesinos/
375,hayley-williams,Hayley Williams,/artists/hayley-williams/
376,5062-nina-simone,Nina Simone,/artists/5062-nina-simone/
377,5719-colour-revolt,Colour Revolt,/artists/5719-colour-revolt/
378,5215-elvis-perkins-in-dearland,Elvis Perkins in Dearland,/artists/5215-elvis-perkins-in-dearland/
379,23340-schneider-tm,Schneider TM,/artists/23340-schneider-tm/
380,3500-q-burns-abstract-message,Q-Burns Abstract Message,/artists/3500-q-burns-abstract-message/
381,1149-drexciya,Drexciya,/artists/1149-drexciya/
382,30453-baauer,Baauer,/artists/30453-baauer/
383,3785-silkworm,Silkworm,/artists/3785-silkworm/
384,470-bright-eyes,Bright Eyes,/artists/470-bright-eyes/
385,5531-bear-in-heaven,Bear in Heaven,/artists/5531-bear-in-heaven/
386,5860-slint,Slint,/artists/5860-slint/
387,33052-allesandro-cortini,Alessandro Cortini,/artists/33052-allesandro-cortini/
388,7372-wild-beasts,Wild Beasts,/artists/7372-wild-beasts/
389,32390-electric-wizard,Electric Wizard,/artists/32390-electric-wizard/
